"","Subject","Location","Description","Start Date","Start Time","End Date","End Time"
"1","闯入者 (2014)","中国电影资料馆,小西天艺术影院,1号厅","汉语普通话
中文
￥30
淘票票网售，当日现场售票",2019-04-05,"18:30:00",2019-04-05,"20:37:00"
"2","海街日记 海街diary (2015)","中国电影资料馆,小西天艺术影院,1号厅","日语
中文
￥50
淘票票网售，当日现场售票",2019-04-05,"19:00:00",2019-04-05,"20:50:00"
"3","路边野餐 (2015)","中国电影资料馆,小西天艺术影院,2号厅","贵州方言
中文
￥30
淘票票网售，当日现场售票",2019-04-04,"18:30:00",2019-04-04,"19:54:00"
"4","百元之恋 百窑瘟 (2014)","中国电影资料馆,小西天艺术影院,1号厅","日语
中文
￥50
淘票票网售，当日现场售票",2019-04-04,"19:00:00",2019-04-04,"21:30:00"
"5","国王与小鸟 Le roi et l'oiseau (1980)","中国电影资料馆,小西天艺术影院,2号厅","法语
中文
￥30
淘票票网售，当日现场售票",2019-04-03,"18:30:00",2019-04-03,"20:15:00"
"6","孙中山 (1986)","中国电影资料馆,小西天艺术影院,1号厅","汉语普通话
中文
￥10
淘票票网售，当日现场售票",2019-04-03,"19:00:00",2019-04-03,"20:23:00"
"7","红楼梦 (1962)","中国电影资料馆,小西天艺术影院,2号厅","汉语普通话
中文
￥20
淘票票网售，当日现场售票",2019-04-02,"18:30:00",2019-04-02,"20:37:00"
"8","回归 Возвращение (2003)","中国电影资料馆,小西天艺术影院,1号厅","俄语
中文
￥30
当日现场售票",2019-04-02,"19:00:00",2019-04-02,"20:50:00"
